weak_mult,strong_mult,held_acc,f1_weighted,f1_macro,recall_Weak,recall_Average,recall_Strong,benchmark_agree,benchmark_total,train_sec
6,1,0.8852,0.8814,0.6452,0.118,0.91,0.868,4,10,3.6
8,2,0.7465,0.6556,0.4122,0.176,0.994,0.053,3,10,4.1
8,4,0.7476,0.6627,0.4178,0.176,0.99,0.07,3,10,4.1
10,4,0.7497,0.6657,0.425,0.176,0.991,0.075,3,10,4.3
10,6,0.7497,0.6671,0.4231,0.176,0.99,0.079,3,10,4.3
12,6,0.7497,0.6656,0.4209,0.176,0.991,0.075,3,10,4.5
10,8,0.753,0.6753,0.4372,0.176,0.988,0.096,3,10,4.5
16,8,0.7541,0.676,0.4376,0.176,0.99,0.096,3,10,6.8
8,8,0.7508,0.6741,0.4071,0.118,0.985,0.101,2,10,4.3
